Revenue,NetIncome,EBIT,EBITDA,Interest,Tax,OCF,Capex,FCF,Depreciation,TotalAssets,Equity,TotalDebt,Cash,EPS,Shares,Ticker,Year,Close,MarketCap,NetDebt,EV,Company,Business_Model
52862000000.0,7514000000.0,9585000000.0,11211000000.0,2763000000.0,2071000000.0,21079000000.0,1855000000.0,19224000000.0,1626000000.0,228354000000.0,24711000000.0,43921000000.0,33537000000.0,9.85,743000000.0,AXP,2022,141580000.0,105193940000.0,10384000000.0,115577940000.0,American Express,Financial
60515000000.0,8374000000.0,10513000000.0,12164000000.0,6849000000.0,2139000000.0,18559000000.0,1563000000.0,16996000000.0,1651000000.0,261108000000.0,28057000000.0,49159000000.0,46530000000.0,11.21,723000000.0,AXP,2023,182170000.0,131708910000.0,2629000000.0,134337910000.0,American Express,Financial
65949000000.0,10129000000.0,12895000000.0,14571000000.0,8252000000.0,2766000000.0,14050000000.0,1911000000.0,12139000000.0,1676000000.0,271461000000.0,30264000000.0,51089000000.0,40552000000.0,14.01,702000000.0,AXP,2024,292050000.0,205019100000.0,10537000000.0,215556100000.0,American Express,Financial
72230000000.0,10833000000.0,13795000000.0,15572000000.0,8234000000.0,2962000000.0,18428000000.0,2425000000.0,16003000000.0,1777000000.0,300052000000.0,33474000000.0,57759000000.0,47708000000.0,15.38,686000000.0,AXP,2025,367970000.0,252427420000.0,10051000000.0,262478420000.0,American Express,Financial
22237000000.0,9930000000.0,12722000000.0,12953000000.0,471000000.0,1802000000.0,11195000000.0,1097000000.0,10098000000.0,750000000.0,38724000000.0,6298000000.0,14023000000.0,7008000000.0,10.22,956000000.0,MA,2022,340570000.0,325584920000.0,7015000000.0,332599920000.0,Mastercard,Network
25098000000.0,11195000000.0,14630000000.0,15013000000.0,575000000.0,2444000000.0,11980000000.0,1088000000.0,10892000000.0,799000000.0,42448000000.0,6929000000.0,15681000000.0,8588000000.0,11.83,934000000.0,MA,2023,420280000.0,392541520000.0,7093000000.0,399634520000.0,Mastercard,Network
28167000000.0,12874000000.0,16327000000.0,16797000000.0,646000000.0,2380000000.0,14780000000.0,1194000000.0,13586000000.0,897000000.0,48081000000.0,6485000000.0,18226000000.0,8442000000.0,13.89,913800000.0,MA,2024,521880000.0,476893944000.0,9784000000.0,486677944000.0,Mastercard,Network
32791000000.0,14968000000.0,19514000000.0,20443000000.0,722000000.0,3610000000.0,17648000000.0,1215000000.0,16433000000.0,1143000000.0,54157000000.0,7737000000.0,19000000000.0,10566000000.0,16.52,893737665.0,MA,2025,569050000.0,508581418268.25,8434000000.0,517015418268.25,Mastercard,Network
27518000000.0,2419000000.0,4044000000.0,4987000000.0,304000000.0,947000000.0,5813000000.0,706000000.0,5107000000.0,1317000000.0,78624000000.0,20274000000.0,10417000000.0,7776000000.0,2.09,1136000000.0,PYPL,2022,70840000.0,80474240000.0,2641000000.0,83115240000.0,PayPal,Fintech
29771000000.0,4246000000.0,4944000000.0,6830000000.0,347000000.0,1165000000.0,4843000000.0,623000000.0,4220000000.0,1072000000.0,82166000000.0,21051000000.0,9676000000.0,9081000000.0,3.84,1072000000.0,PYPL,2023,61080000.0,65477760000.0,595000000.0,66072760000.0,PayPal,Fintech
31797000000.0,4147000000.0,5763000000.0,6743000000.0,382000000.0,1182000000.0,7450000000.0,683000000.0,6767000000.0,1032000000.0,78725000000.0,20417000000.0,9879000000.0,6662000000.0,3.99,993000000.0,PYPL,2024,84900000.0,84305700000.0,3217000000.0,87522700000.0,PayPal,Fintech
33172000000.0,5233000000.0,6396000000.0,7696000000.0,441000000.0,1059000000.0,6416000000.0,852000000.0,5564000000.0,963000000.0,80173000000.0,20256000000.0,9987000000.0,8049000000.0,5.41,920000000.0,PYPL,2025,58200000.0,53544000000.0,1938000000.0,55482000000.0,PayPal,Fintech
29310000000.0,14957000000.0,19681000000.0,19535000000.0,538000000.0,3179000000.0,18849000000.0,970000000.0,17879000000.0,861000000.0,85501000000.0,35581000000.0,22450000000.0,15689000000.0,7.0,2086435000.0,V,2022,172940000.0,360828068900.0,6761000000.0,367589068900.0,Visa,Network
32653000000.0,17273000000.0,21927000000.0,22624000000.0,644000000.0,3764000000.0,20755000000.0,1059000000.0,19696000000.0,943000000.0,90499000000.0,38733000000.0,20463000000.0,16286000000.0,8.28,2031761500.0,V,2023,225710000.0,458588888165.0,4177000000.0,462765888165.0,Visa,Network
35926000000.0,19743000000.0,24057000000.0,25591000000.0,641000000.0,4173000000.0,19950000000.0,1257000000.0,18693000000.0,1034000000.0,94511000000.0,39137000000.0,20836000000.0,11975000000.0,9.73,1980512564.0,V,2024,271930000.0,538560781528.52,8861000000.0,547421781528.52,Visa,Network
40000000000.0,20058000000.0,26556000000.0,26003000000.0,589000000.0,4136000000.0,23059000000.0,1482000000.0,21577000000.0,1220000000.0,99627000000.0,37909000000.0,25171000000.0,17164000000.0,10.2,1933259368.0,V,2025,340000000.0,657308185120.0,8007000000.0,665315185120.0,Visa,Network
